First name	Middle initial(s)	Last name	2nd affiliation	3rd affiliation	osf_id	twitter	mattermost	As co-author, I have read and approve submission of this manuscript	participated in event (for example: led or joined a hackathon project)	organized or helped organizing an event	taught at event (for example: traintrack)	attended any general group meetings of this project	attended any core group meetings of this project	led general group meetings	led core group meetings	prepared meeting venue (zoom) (for any meeting)	prepared meeting agenda	managed meeting times (doodle)	took notes in meeting	monitored chat in meeting	prepared or emailed meeting summaries to the group	contributed to paper brainstorm	attended section group meetings	wrote original section content	revised for a section	created figures	created tables, glossary	gathered data	performed master editing	performed internal review	responded to internal review and revised manuscript	participated in the jupyter book creation	prepared / gave presentations at Brainhack global events	preprint dissemination	List the brainhack events you participated at and/or helped organized and/or taught at.	projects	reproducibility	trainings	community / collaboration	better code	Feel free to add any other information regarding your contribution.	ranking	joint_first	Author_ID
Thomas	G.	Close	/ National Imaging Facility / Sydney / Australia			tomgclose	tom.close	X	X		X																								OHBM 2018 Singapore, OHBM 2019 Rome, OHBM 2020 virtual							1033		105
Etienne		Combrisson																																								1034		158
Giorgia		Cona						X	X	X	X									X											X				BrainHack Padova 2018; BrainHack Padova 2020							1035		70
R. Todd		Constable	School of Medicine / Yale University / New Haven, CT / USA			constable_todd		X	X	X		X																							Two brain hack events at Yale University							1036		8
Claire		Cury																																								1038		197
Kamalaker		Dadi																																								1039		206
Pablo	F.	Damasceno																																								1040		205
Samir		Das																																								1041		167
Fabrizio		De Vico Fallani	Paris Brain Institute / Sorbonne Universites, Inserm 1127, Cnrs 7225, AP-HP / Paris / France					X		X																									Brainhack Networks 2018; Brainhack Networks 2019							1043		10
Krista		DeStasio																																								1045		203
Erin	W.	Dickie	Department of Psychiatry / University of Toronto / Toronto, ON / Canada			ErinWDickie	erin.w.dickie	X	X	X	X	X																					X		Organizer of BrainHack Global Toronto 2017-2020; BrainsHack CAN/ACN Hackathon (May 2019)							1046		84
Lena		Dorfschmidt				lenadorfschmidt		X	X	X		X																		X			X		OHBM Brainhack Rome 2019, Oxbridge Brainhack 2020							1047		115
Eugene	P.	Duff				eugenepduff	eduff123	X	X	X															X										Leipzig 2012, Warwick 2017, OHBM 2020, other HBMs on site						Minor contrib. to HBM 2020 as OSSIG Treas. minor edits to man. Happy to help final stages. Authorship not expected. Amazing work	1049		144
Elizabeth		DuPre			pcq6g	emdupre_	emdupre	X	X	X	X	X																							OSSIG 2017-2020, Brainhack Montreal 2018 co-organizer, instructor at BrainHack school in 2018-2019							1051		85
Sarah	L.	Dziura																																								1052		218
Nathalia	B.	Esper						X	X	X	X	X										X									X		X	X	Brainhack Global - Porto Alegre (2016, 2017, 2018 and 2019)							1054		76
Oscar		Esteban			c5st6	oesteban	oesteban	X	X	X	X									X											X		X	X	Brainhack Donostia 2020, UIUC location of Brainhack 2017							1055		129
Shreyas		Fadnavis				ShreyasSF	shreyasfadnavis	X	X	X																									Indiana Univesity Bloomington							1056		131
Guillaume		Flandin																																								1057		190
Jessica	E.	Flannery																																								1058		208
John		Flournoy																																								1059		194
Stephanie	J.	Forkel	Department Neuroimaging, Institute of Psychiatry, Psychology and Neurosciences / King's College London / London / UK			StephForkel		X	X	X	X														X								X		+Brainhack London 2017, BrainHack in Paris: Global Edition 2018, BrainHack GLOBAL in Padova: Brain Asymmetries edition 2019, ++2+	X						1060		139
Alexandre	R.	Franco	Center for the Developing Brain / Child Mind Institute / New York City, NY / USA	Department of Psychiatry / NYU Grossman School of Medicine / New York City, NY / USA		Alex_R_Franco		X	X	X	X	X	X	X	X	X	X	X	X	X																						1061		133
Saampras		Ganesan	Department of Biomedical Engineering / The University of Melbourne / Melbourne / Australia			SaamprasG		X	X		X	X	X												X					X					Tutor at MATLAB traintrack; participant in 1) Neurofeedback for children with ADHD, 2) age prediction using machine learning.	X		X			Also performed some edits in the projects and conclusion section, and the table at the end.	1063		45
Siyuan		Gao																																								1064		199
José	C.	García Alanis			8f2vt	JoiAlhaniz		X	X	X	X	X																							Brainhack Marburg							1065		113
